Place,Name,Sex,BodyweightKg,Event,Equipment,WeightClassKg,BestSquatKg,BestBenchKg,BestDeadliftKg,TotalKg,Wilks
1,Dean Wellington,M,,SBD,Raw,52,82.5,42.5,92.5,217.5,
1,Cu Phan,M,,SBD,Raw,56,160,102.5,185,447.5,
1,Michael Anderson,M,,SBD,Raw,67.5,160,115,190,465,
2,Mat Wellington,M,,B,Raw,67.5,,82.5,,82.5,
1,Sean Muir,M,,SBD,Raw,75,215,135,240,590,
2,Brett McBain,M,,SBD,Raw,75,200,117.5,210,527.5,
1,David Costello,M,,SBD,Raw,82.5,220,155,267.5,642.5,
4,Grahame Homewood,M,,SBD,Raw,82.5,150,-,155,,
2,Matthew Fraser,M,,SBD,Raw,82.5,142.5,117.5,165,425,
3,Adam Porter,M,,SBD,Raw,82.5,140,90,180,410,
3,Tory Early,M,,SBD,Raw,90,115,110,190,415,
4,Daniel Goulding,M,,SBD,Raw,90,190,-,220,,
2,Craig Martin,M,,SBD,Raw,90,160,115,215,490,
1,Les Wellington,M,,SBD,Raw,90,250,122.5,220,592.5,
1,Warren Hussey,M,,SBD,Raw,100,170,125,190,485,
1,Rick Morse,M,,B,Raw,100,,140,,140,
1,Robert Vanderstarre,M,,SBD,Raw,110,170,150,205,525,
