Place,Name,Sex,BodyweightKg,Event,Equipment,WeightClassKg,BestSquatKg,BestBenchKg,BestDeadliftKg,TotalKg,Wilks
1,Vanessa Bassett,F,,SBD,Raw,56,90,45,110,245,
1,Allarna Mather,F,,SBD,Raw,67.5,85,30,100,215,
1,Kristy Bird,F,,SBD,Raw,82.5,90,60,107.5,257.5,
1,Victor Goss,M,,SBD,Raw,56,80,60,140,280,
1,Jamie Elphinstone,M,,B,Raw,67.5,,100,,100,
2,Ron Watts,M,,SBD,Raw,82.5,140,90,190,420,
3,Peter Chilcott,M,,SBD,Raw,82.5,135,85,175,395,
1,Dennis Hay,M,,SBD,Raw,82.5,180,135,208,523,
1,Steve Pearson,M,,SBD,Raw,90,230,150,235,615,
1,Garth Hutton,M,,B,Raw,90,,125,,125,
1,Barry Jones,M,,B,Raw,100,,100,,100,
1,Max O'Toole,M,,SBD,Raw,110,197.5,125,237.5,560,
1,Mark Cuzner,M,,SBD,Raw,125,220,150,240,610,
2,Victor Burtt,M,,SBD,Raw,125,220,122.5,200,542.5,
1,Ricky Walsh,M,,B,Raw,125+,,182.5,,182.5,
