Place,Name,Sex,BodyweightKg,Event,Equipment,WeightClassKg,BestSquatKg,BestBenchKg,BestDeadliftKg,TotalKg,Wilks
1,Anne Mort,F,,SBD,Raw,75,162.5,97.5,162.5,422.5,
1,Jeanette Saxberg,F,,SBD,Raw,90,122.5,82.5,132.5,337.5,
1,Paul Waters,M,,SBD,Raw,56,130,80,160,370,
1,Max Bristow,M,,SBD,Raw,67.5,182.5,115,241.5,539,
1,John Myers,M,,SBD,Raw,75,215,150,250.5,615.5,
2,Stewart Hine,M,,SBD,Raw,75,210,135,230,575,
1,Keith Hardwick,M,,SBD,Raw,75,130,85,165,380,
1,Tom MacDonald,M,,SBD,Raw,82.5,215,105,225,545,
1,David Vaughan,M,,SBD,Raw,90,237.5,155,252.5,645,
2,Mark Roskell,M,,SBD,Raw,90,207.5,142.5,240,590,
1,Ken Mitchell,M,,SBD,Raw,90,167.5,102.5,165,435,
1,Pat Whymark,M,,SBD,Raw,100,300.5,175,280,755.5,
2,Maged Abdou,M,,SBD,Raw,100,260,167.5,260,687.5,
1,Joe Heffernan,M,,SBD,Raw,125,270,170,270,710,
1,Jason Gibbs,M,,B,Raw,67.5,,72.5,,72.5,
1,Tony Somerville,M,,B,Raw,90,,145,,145,
1,Martin Reynolds,M,,B,Raw,90,,125,,125,
2,Ernie Armstrong,M,,B,Raw,90,,105,,105,
1,Terry Giddy,M,,B,Raw,100,,150,,150,
1,Dianne Hardwick,F,,B,Raw,90+,,57.5,,57.5,
