Place,Name,Sex,BodyweightKg,Event,Equipment,WeightClassKg,BestSquatKg,BestBenchKg,BestDeadliftKg,TotalKg,Wilks
1,Rikki Flanders,F,,SBD,Raw,60,115,60,125,300,
2,Nicki Gaylard,F,,SBD,Raw,60,65,77.5,65,207.5,
1,Sonja Rutherford,F,,SBD,Raw,75,107.5,52.5,127.5,287.5,
1,Bengt Carlson,M,,SBD,Raw,67.5,120,95,185,400,
1,Frank Dimasi,M,,SBD,Raw,82.5,160,100,185,445,
2,John Rutherford,M,,SBD,Raw,82.5,150,82.5,167.5,400,
3,Steve Bertamini,M,,SBD,Raw,82.5,25,162.5,65,252.5,
2,Brett Smartt,M,,SBD,Raw,90,227.5,152.5,230,610,
1,Sean Trotter,M,,SBD,Raw,90,235,130,235,600,
4,Daryl Dando,M,,SBD,Raw,90,192.5,135,210,537.5,
3,Leigh Donnellan,M,,SBD,Raw,90,165,125,212.5,502.5,
1,Darren Jones,M,,SBD,Raw,100,260,172.5,267.5,700,
2,Andrew Pietromartarie,M,,SBD,Raw,100,175,95,182.5,452.5,
1,Steve Giffin,M,,SBD,Raw,125,280,182.5,272.5,735,
