Place,Name,Sex,BodyweightKg,Event,Equipment,WeightClassKg,BestSquatKg,BestBenchKg,BestDeadliftKg,TotalKg,Wilks
,Samantha VanDeGeest,F,,B,Raw,52,,30,,30,
,Robyn Gleeson,F,,SBD,Raw,67.5,92.5,50,95,237.5,
,Jessica Mort,F,,B,Raw,67.5,,65,,65,
,Diane Hardwick,F,,SBD,Raw,90+,60,57.5,105,222.5,
,Greg Lancaster,M,,SBD,Raw,60,170,75,190,435,
,Max Bristow,M,,SBD,Raw,67.5,175,110,235,520,
,Tony Feltham,M,,SBD,Raw,75,55,93,85,233,
,Keith Hardwick,M,,SBD,Raw,82.5,125,82.5,170,377.5,
,Gordon Thorogood,M,,SBD,Raw,90,190,97.5,170,457.5,
,John Mort,M,,SBD,Raw,100,225,145,235,605,
