Place,Name,Sex,BodyweightKg,Event,Equipment,WeightClassKg,BestSquatKg,BestBenchKg,BestDeadliftKg,TotalKg,Wilks
1,Kathy Burgess,F,,SBD,Raw,75,120,82.5,162.5,365,
2,Sara Maree Francis,F,,SBD,Raw,75,140,62.5,160,362.5,
3,Sandra Grice,F,,SBD,Raw,75,65,70,120,255,
1,Theo Lagis,M,,SBD,Raw,67.5,170,100,205,475,
1,Steve How Lum,M,,SBD,Raw,75,175,100,210,485,
2,Maurice Craggs,M,,SBD,Raw,75,170,80,190,440,
1,Ashley Pappin,M,,SBD,Raw,82.5,185,100,190,475,
1,Luke Mackinlay,M,,SBD,Raw,90,205,155,227.5,587.5,
2,Gary Segal,M,,SBD,Raw,90,185,87.5,225,497.5,
3,Terry Schroder,M,,SBD,Raw,90,130,90,140,360,
1,Peter Tailford,M,,SBD,Raw,100,232.5,155,252.5,640,
1,Andrew Logan,M,,SBD,Raw,110,310,165,315,790,
2,Adam Firman,M,,SBD,Raw,110,235,135,242.5,612.5,
1,Peter Smith,M,,SBD,Raw,125,300,172.5,327.5,800,
DQ,Gary Roberts,M,,SBD,Raw,125,325,,,DQ,
1,Graham Thomson,M,,SBD,Raw,125+,280,180,300,760,
1,Fred Litchfield,M,,B,Raw,60,,112.5,,112.5,
2,David Playford,M,,B,Raw,60,,72.5,,72.5,
1,David Davey,M,,B,Raw,67.5,,135,,135,
1,Nic Unsworth-Smith,M,,B,Raw,75,,140,,140,
1,Andrew Lulham,M,,B,Raw,82.5,,150,,150,
