Place,Name,Sex,BodyweightKg,Event,Equipment,WeightClassKg,BestSquatKg,BestBenchKg,BestDeadliftKg,TotalKg,Wilks
,Vanessa Bassett,F,,B,Raw,67.5,,60,,60,
,Victor Goss,M,,B,Raw,56,,65,,65,
,Jim Lewis,M,,B,Raw,82.5,,140,,140,
,Steve Pearson,M,,B,Raw,90,,157.5,,157.5,
,Dennis Hay,M,,B,Raw,90,,150,,150,
,Victor Burtt,M,,B,Raw,125,,120,,120,
