Place,Name,Sex,BodyweightKg,Event,Equipment,WeightClassKg,BestSquatKg,BestBenchKg,BestDeadliftKg,TotalKg,Wilks
1,Paul Waters,M,,SBD,Raw,56,130,80,170,380,
1,Greg Lancaster,M,,SBD,Raw,60,172.5,72.5,200,445,
3,Automotu Puleoti,M,,SBD,Raw,67.5,120,87.5,140,347.5,
1,Max Bristow,M,,SBD,Raw,67.5,170,110,230,510,
1,Nghiep Luu,M,,SBD,Raw,67.5,215,102.5,257.5,575,
4,Theodore Lagis,M,,SBD,Raw,67.5,177.5,105,207.5,490,
2,David Kent,M,,SBD,Raw,67.5,210,135,200,545,
1,Keith Hardwick,M,,SBD,Raw,75,125,82.5,170,377.5,
2,Nic Unsworth-Smith,M,,SBD,Raw,75,220,150,225,595,
2,Eric Yameng,M,,SBD,Raw,75,212.5,117.5,240,570,
1,Antoine D'Arco,M,,SBD,Raw,75,232.5,155,245,632.5,
4,Stweart Hine,M,,SBD,Raw,75,210,135,230,575,
8,Stephen How Lum,M,,SBD,Raw,75,170,105,200,475,
6,Andrew Lulham,M,,SBD,Raw,75,215,135,210,560,
3,Craig McMillan,M,,SBD,Raw,75,190,117.5,222.5,530,
3,Sean Muir,M,,SBD,Raw,75,207.5,127.5,252.5,587.5,
5,Neville Harris,M,,SBD,Raw,75,195,155,235,585,
7,Szabolcs Horvath,M,,SBD,Raw,75,187.5,130,230,547.5,
1,John Myers,M,,SBD,Raw,75,207.5,155,247.5,610,
2,Edward Walsby,M,,SBD,Raw,82.5,175,130,240,545,
2,Franz Bartels,M,,SBD,Raw,82.5,212.5,130,275,617.5,
2,Ray Hopkins,M,,SBD,Raw,82.5,205,125,230,560,
1,George Anderson,M,,SBD,Raw,82.5,180,140,275,595,
1,Achilles Kelepouris,M,,SBD,Raw,82.5,247.5,135,240,622.5,
1,Kenny Wendt,M,,SBD,Raw,82.5,235,155,240,630,
1,Murray Hobbs,M,,SBD,Raw,82.5,195,152.5,230,577.5,
1,Shannon Jacobson,M,,SBD,Raw,82.5,195,110,220,525,
2,Thomas MacDonald,M,,SBD,Raw,82.5,215,105,235,555,
1,Livingstone Sokoli,M,,SBD,Raw,82.5,250,145,270,665,
3,John Rutherford,M,,SBD,Raw,82.5,140,82.5,165,387.5,
1,Tony Thomas,M,,SBD,Raw,90,197.5,115,180,492.5,
3,Motofaga Valiana,M,,SBD,Raw,90,150,105,207.5,462.5,
8,Luke Mackinlay,M,,SBD,Raw,90,205,145,230,580,
1,Ario Engar,M,,SBD,Raw,90,230,170,245,645,
7,Terry Power,M,,SBD,Raw,90,210,140,235,585,
1,Stephen Moszko,M,,SBD,Raw,90,270,157.5,270,697.5,
4,Mark Roskell,M,,SBD,Raw,90,220,162.5,250,632.5,
6,Sean Trotter,M,,SBD,Raw,90,235,125,240,600,
3,Dominico Vaotoa,M,,SBD,Raw,90,220,190,215,625,
2,Steve Nas,M,,SBD,Raw,90,252.5,162.5,275,690,
3,David Vaughan,M,,SBD,Raw,90,225,155,255,635,
5,Brett Smartt,M,,SBD,Raw,90,225,147.5,230,602.5,
4,John Anis,M,,SBD,Raw,100,260,155,260,675,
1,Graeme Gibson,M,,SBD,Raw,100,215,152.5,245,612.5,
6,Vincent Loke,M,,SBD,Raw,100,255,145,255,655,
8,Anthony Burley,M,,SBD,Raw,100,270,135,230,635,
7,John Mort,M,,SBD,Raw,100,245,150,255,650,
4,Brett Guthrie,M,,SBD,Raw,100,235,130,235,600,
3,Frank Robby,M,,SBD,Raw,100,240,152.5,235,627.5,
4,Pas Pataud,M,,SBD,Raw,100,242.5,185,250,677.5,
1,Rick Dado,M,,SBD,Raw,100,310,185,275,770,
2,Simon Weaver,M,,SBD,Raw,100,290,177.5,282.5,750,
2,Fiore Inglese,M,,SBD,Raw,100,285,155,275,715,
3,Alan Mihaljevic,M,,SBD,Raw,100,272.5,155,282.5,710,
5,Darren Jones,M,,SBD,Raw,100,252.5,162.5,252.5,667.5,
1,Maged Abdou,M,,SBD,Raw,100,285,187.5,260,732.5,
2,Marysha Pilkington,F,,SBD,Raw,48,67.5,50,100,217.5,
1,Trish Muldrock,F,,SBD,Raw,48,100,63,132.5,295.5,
1,Nicki Gaylard,F,,SBD,Raw,56,60,78,100,238,
1,Julie Hallmond,F,,SBD,Raw,56,97.5,55,130,282.5,
2,Tania Green,F,,SBD,Raw,60,107.5,82.5,120,310,
1,Rikki Flanders,F,,SBD,Raw,60,112.5,62.5,130,305,
1,Jenette Gevers,F,,SBD,Raw,60,145,77.5,147.5,370,
2,Karen Lloyd,F,,SBD,Raw,60,127.5,80,142.5,350,
1,Diane Hardwick,F,,SBD,Raw,90+,70,52.5,112.5,235,
1,Aida Geno,F,,SBD,Raw,67.5,130,57.5,140,327.5,
1,Ruth Bulaige,F,,SBD,Raw,67.5,110,50,125,285,
DQ,Sonja Rutherford,F,,SBD,Raw,67.5,105,55,,DQ,
1,Mary Medved,F,,SBD,Raw,67.5,140,70,140,350,
1,Anne Mort,F,,SBD,Raw,75,157.5,97.5,160,415,
1,Chris Newman,F,,SBD,Raw,75,115,57.5,130,302.5,
