Place,Name,Sex,BodyweightKg,Event,Equipment,WeightClassKg,BestSquatKg,BestBenchKg,BestDeadliftKg,TotalKg,Wilks
,Hercules Perryman,M,,B,Raw,82.5,,87.5,,87.5,
,Ian Sullivan,M,,B,Raw,100,,155,,155,
