Place,Name,Sex,BodyweightKg,Event,Equipment,WeightClassKg,BestSquatKg,BestBenchKg,BestDeadliftKg,TotalKg,Wilks
1,Natalia Zacharko,F,,SBD,Raw,56,65,62.5,80,207.5,
1,Barbara Hamilton,F,,SBD,Raw,60,70,45,90,205,
1,Dean Jenkinson,M,,SBD,Raw,75,210,142.5,242.5,595,
1,Troy Frisby,M,,SBD,Raw,82.5,160,100,230.5,490.5,
2,Sean Simpson,M,,SBD,Raw,82.5,160,100,185,445,
3,David Manhire,M,,SBD,Raw,82.5,65,152.5,160,377.5,
1,Don Juers,M,,SBD,Raw,90,120,125,160.5,405.5,
1,Vince Simonetta,M,,SBD,Raw,100,290,155,322.5,767.5,
1,Kevin Conway,M,,SBD,Raw,110,125,65,297.5,487.5,
1,Bernie Sharp,M,,SBD,Raw,125+,210,115,220,545,
