Place,Name,Sex,BodyweightKg,Event,Equipment,WeightClassKg,BestSquatKg,BestBenchKg,BestDeadliftKg,TotalKg,Wilks
,David Playford,M,,B,Raw,60,,75,,75,
,David Davey,M,,B,Raw,67.5,,137.5,,137.5,
,Andrew Lulham,M,,B,Raw,75,,140,,140,
,Ron Guttormsen,M,,B,Raw,75,,112.5,,112.5,
,Ian Deakin,M,,B,Raw,90,,110,,110,
,Ralph Atchison,M,,B,Raw,100,,130,,130,
