Place,Name,Sex,BodyweightKg,Event,Equipment,WeightClassKg,BestSquatKg,BestBenchKg,BestDeadliftKg,TotalKg,Wilks
1,David Playford,M,QLD,B,Raw,56,,75,,75,
1,Sasha Zakharov,M,QLD,B,Raw,60,,77.5,,77.5,
2,Josh Smith,M,QLD,B,Raw,75,,95,,95,
3,Nathan Rennie,M,QLD,B,Raw,75,,75,,75,
1,Scott Pfeffer,M,QLD,B,Raw,82.5,,75,,75,
