Place,Name,Sex,BodyweightKg,Event,Equipment,WeightClassKg,BestSquatKg,BestBenchKg,BestDeadliftKg,TotalKg,Wilks
,Karen Lloyd,F,,B,Raw,60,,77.5,,77.5,
,Steve Bertamini,M,,B,Raw,90,,172.5,,172.5,
,Sean Trotter,M,,B,Raw,90,,130,,130,
,Brett Smartt,M,,B,Raw,90,,150,,150,
,Adam Taylor,M,,B,Raw,100,,150,,150,
,Kevin Boatwood,M,,B,Raw,125,,190,,190,
,Danny Lee,M,,B,Raw,125,,150,,150,
