Place,Name,Sex,BodyweightKg,Event,Equipment,WeightClassKg,BestSquatKg,BestBenchKg,BestDeadliftKg,TotalKg,Wilks
1,Vanessa Bassett,F,,SBD,Raw,56,90,50,110,250,
2,Jade Arnold,F,,SBD,Raw,56,25,57.5,107.5,190,
1,Nicki Gaylord,F,,SBD,Raw,60,120,81,130,331,
1,Sonja Rutherford,F,,SBD,Raw,67.5,95,52.5,127.5,275,
2,Neville Harris,M,,SBD,Raw,75,195,140,222.5,557.5,
3,Szabolcs Horvath,M,,SBD,Raw,75,200,125,217.5,542.5,
4,Frank Dimisi,M,,SBD,Raw,75,145,82.5,175,402.5,
1,John Myers,M,,SBD,Raw,75,200,150,245.5,595.5,
1,Dennis Hay,M,,SBD,Raw,82.5,150,125,205,480,
2,John Rutherford,M,,SBD,Raw,82.5,130,80,150,360,
1,Stephen Moszko,M,,SBD,Raw,90,265,150,277.5,692.5,
2,Brett Smartt,M,,SBD,Raw,90,222.5,145,220,587.5,
1,Kevin Conway,M,,SBD,Raw,100,220,180,300.5,700.5,
2,Anthony Inglese,M,,SBD,Raw,100,230,130,250,610,
1,Greg Phillips,M,,SBD,Raw,110,230,150,280,660,
2,Glen Farrell,M,,SBD,Raw,110,245,145,210,600,
3,Frank Genua,M,,SBD,Raw,110,180,117.5,240,537.5,
1,Kevin Boatwood,M,,SBD,Raw,125,262.5,185.5,230,678,
2,Victor Burtt,M,,SBD,Raw,125,240,115,260,615,
