Place,Name,Sex,BodyweightKg,Event,Equipment,WeightClassKg,BestSquatKg,BestBenchKg,BestDeadliftKg,TotalKg,Wilks
,Vanessa Bassett,F,,SBD,Raw,67.5,115,65,125,305,
,Adam Saunders,M,,SBD,Raw,67.5,145,75,175,395,
,Shannon Jacobson,M,,SBD,Raw,82.5,220,122.5,220,562.5,
,Dennis Hay,M,,SBD,Raw,90,202.5,150,212.5,565,
,Steve Moszko,M,,SBD,Raw,90,275,155,270,700,
,Steve Pearson,M,,SBD,Raw,90,210,150,240,600,
,Tony Burley,M,,SBD,Raw,100,280,145,245,670,
,Max O'Toole,M,,SBD,Raw,110,207.5,122.5,225,555,
,Victor Burtt,M,,SBD,Raw,125,250,135,220,605,
,Ricky Walsh,M,,B,Raw,125+,,200,,200,
