Place,Name,Sex,BodyweightKg,Event,Equipment,WeightClassKg,BestSquatKg,BestBenchKg,BestDeadliftKg,TotalKg,Wilks
,Kathy Burgess,F,,SBD,Raw,75,120,75,160,355,
,Cu Phan,M,,SBD,Raw,56,155,95,185,435,
,Theodore Lagis,M,,SBD,Raw,67.5,175,95,187.5,457.5,
,Szabolcs Horvath,M,,SBD,Raw,75,200,127.5,222.5,550,
,Steven How-Lum,M,,SBD,Raw,75,175,110,200,485,
,Nic Unsworth-Smith,M,,SBD,Raw,75,225,147.5,225,597.5,
,Ron Guttormsen,M,,B,Raw,75,,107.5,,107.5,
,Roger Bradford,M,,B,Raw,75,,140,,140,
,Greg Blackley,M,,B,Raw,75,,145,,145,
,Ashley Pappin,M,,SBD,Raw,82.5,155,100,170,425,
,Gary Segal,M,,SBD,Raw,90,195,92.5,215,502.5,
,Luke Mackinlay,M,,SBD,Raw,90,195,152.5,225,572.5,
,Aaron Ernst,M,,SBD,Raw,90,182.5,117.5,230,530,
,Marcus Wehr,M,,SBD,Raw,110,160,110,220,490,
,Adam Firman,M,,B,Raw,110,,145,,145,
,Steven Goeldner,M,,B,Raw,125,,170,,170,
